realtime_start,value,date,realtime_end
12/6/2019,.,12/1/1980,12/6/2019
12/6/2019,.,1/1/1981,12/6/2019
12/6/2019,.,2/1/1981,12/6/2019
12/6/2019,.,3/1/1981,12/6/2019
12/6/2019,.,4/1/1981,12/6/2019
12/6/2019,.,5/1/1981,12/6/2019
12/6/2019,.,6/1/1981,12/6/2019
12/6/2019,.,7/1/1981,12/6/2019
12/6/2019,.,8/1/1981,12/6/2019
12/6/2019,.,9/1/1981,12/6/2019
12/6/2019,.,10/1/1981,12/6/2019
12/6/2019,.,11/1/1981,12/6/2019
12/6/2019,.,12/1/1981,12/6/2019
12/6/2019,.,1/1/1982,12/6/2019
12/6/2019,.,2/1/1982,12/6/2019
12/6/2019,.,3/1/1982,12/6/2019
12/6/2019,.,4/1/1982,12/6/2019
12/6/2019,.,5/1/1982,12/6/2019
12/6/2019,.,6/1/1982,12/6/2019
12/6/2019,.,7/1/1982,12/6/2019
12/6/2019,.,8/1/1982,12/6/2019
12/6/2019,.,9/1/1982,12/6/2019
12/6/2019,.,10/1/1982,12/6/2019
12/6/2019,.,11/1/1982,12/6/2019
12/6/2019,.,12/1/1982,12/6/2019
12/6/2019,.,1/1/1983,12/6/2019
12/6/2019,.,2/1/1983,12/6/2019
12/6/2019,.,3/1/1983,12/6/2019
12/6/2019,.,4/1/1983,12/6/2019
12/6/2019,.,5/1/1983,12/6/2019
12/6/2019,.,6/1/1983,12/6/2019
12/6/2019,.,7/1/1983,12/6/2019
12/6/2019,.,8/1/1983,12/6/2019
12/6/2019,.,9/1/1983,12/6/2019
12/6/2019,.,10/1/1983,12/6/2019
12/6/2019,.,11/1/1983,12/6/2019
12/6/2019,.,12/1/1983,12/6/2019
12/6/2019,.,1/1/1984,12/6/2019
12/6/2019,.,2/1/1984,12/6/2019
12/6/2019,.,3/1/1984,12/6/2019
12/6/2019,.,4/1/1984,12/6/2019
12/6/2019,.,5/1/1984,12/6/2019
12/6/2019,.,6/1/1984,12/6/2019
12/6/2019,.,7/1/1984,12/6/2019
